Begin: 50, Num: 19, Intermediate: 69, Count: 0, Result: 69
Begin: 69, Num: -18, Intermediate: 51, Count: 0, Result: 51
Begin: 51, Num: -17, Intermediate: 34, Count: 0, Result: 34
Begin: 34, Num: 21, Intermediate: 55, Count: 0, Result: 55
Begin: 55, Num: 8, Intermediate: 63, Count: 0, Result: 63
Begin: 63, Num: -23, Intermediate: 40, Count: 0, Result: 40
Begin: 40, Num: -42, Intermediate: -2, Count: 1, Result: 98
Begin: 98, Num: -37, Intermediate: 61, Count: 1, Result: 61
Begin: 61, Num: 21, Intermediate: 82, Count: 1, Result: 82
Begin: 82, Num: -9, Intermediate: 73, Count: 1, Result: 73
Begin: 73, Num: -14, Intermediate: 59, Count: 1, Result: 59
Begin: 59, Num: 38, Intermediate: 97, Count: 1, Result: 97
Begin: 97, Num: 10, Intermediate: 107, Count: 2, Result: 7
Begin: 7, Num: 19, Intermediate: 26, Count: 2, Result: 26
Begin: 26, Num: 27, Intermediate: 53, Count: 2, Result: 53
Begin: 53, Num: -47, Intermediate: 6, Count: 2, Result: 6
Begin: 6, Num: -13, Intermediate: -7, Count: 3, Result: 93
Begin: 93, Num: -3, Intermediate: 90, Count: 3, Result: 90
Begin: 90, Num: -45, Intermediate: 45, Count: 3, Result: 45
Begin: 45, Num: -13, Intermediate: 32, Count: 3, Result: 32
Begin: 32, Num: -43, Intermediate: -11, Count: 4, Result: 89
Begin: 89, Num: -31, Intermediate: 58, Count: 4, Result: 58
Begin: 58, Num: 15, Intermediate: 73, Count: 4, Result: 73
Begin: 73, Num: 17, Intermediate: 90, Count: 4, Result: 90
Begin: 90, Num: 11, Intermediate: 101, Count: 5, Result: 1
Begin: 1, Num: 50, Intermediate: 51, Count: 5, Result: 51
Begin: 51, Num: 10, Intermediate: 61, Count: 5, Result: 61
Begin: 61, Num: -23, Intermediate: 38, Count: 5, Result: 38
Begin: 38, Num: 7, Intermediate: 45, Count: 5, Result: 45
Begin: 45, Num: 2, Intermediate: 47, Count: 5, Result: 47
Begin: 47, Num: 49, Intermediate: 96, Count: 5, Result: 96
Begin: 96, Num: 23, Intermediate: 119, Count: 6, Result: 19
Begin: 19, Num: -8, Intermediate: 11, Count: 6, Result: 11
Begin: 11, Num: 11, Intermediate: 22, Count: 6, Result: 22
Begin: 22, Num: -44, Intermediate: -22, Count: 7, Result: 78
Begin: 78, Num: 19, Intermediate: 97, Count: 7, Result: 97
Begin: 97, Num: 18, Intermediate: 115, Count: 8, Result: 15
Begin: 15, Num: 14, Intermediate: 29, Count: 8, Result: 29
Begin: 29, Num: 41, Intermediate: 70, Count: 8, Result: 70
Begin: 70, Num: -3, Intermediate: 67, Count: 8, Result: 67
Begin: 67, Num: 6, Intermediate: 73, Count: 8, Result: 73
Begin: 73, Num: 42, Intermediate: 115, Count: 9, Result: 15
Begin: 15, Num: -47, Intermediate: -32, Count: 10, Result: 68
Begin: 68, Num: -6, Intermediate: 62, Count: 10, Result: 62
Begin: 62, Num: -20, Intermediate: 42, Count: 10, Result: 42
Begin: 42, Num: 13, Intermediate: 55, Count: 10, Result: 55
Begin: 55, Num: 10, Intermediate: 65, Count: 10, Result: 65
Begin: 65, Num: 45, Intermediate: 110, Count: 11, Result: 10
Begin: 10, Num: -1, Intermediate: 9, Count: 11, Result: 9
Begin: 9, Num: -9, Intermediate: 0, Count: 11, Result: 0
Begin: 0, Num: 47, Intermediate: 47, Count: 11, Result: 47
Begin: 47, Num: 10, Intermediate: 57, Count: 11, Result: 57
Begin: 57, Num: 28, Intermediate: 85, Count: 11, Result: 85
Begin: 85, Num: 22, Intermediate: 107, Count: 12, Result: 7
Begin: 7, Num: 93, Intermediate: 100, Count: 13, Result: 0
Begin: 0, Num: -10, Intermediate: -10, Count: 13, Result: 90
Begin: 90, Num: 75, Intermediate: 165, Count: 14, Result: 65
Begin: 65, Num: -65, Intermediate: 0, Count: 14, Result: 0
Begin: 0, Num: -64, Intermediate: -64, Count: 14, Result: 36
Begin: 36, Num: -97, Intermediate: -61, Count: 15, Result: 39
Begin: 39, Num: 24, Intermediate: 63, Count: 15, Result: 63
Begin: 63, Num: 22, Intermediate: 85, Count: 15, Result: 85
Begin: 85, Num: -85, Intermediate: 0, Count: 15, Result: 0
Begin: 0, Num: -18, Intermediate: -18, Count: 15, Result: 82
Begin: 82, Num: -65, Intermediate: 17, Count: 15, Result: 17
Begin: 17, Num: -17, Intermediate: 0, Count: 15, Result: 0
Begin: 0, Num: -53, Intermediate: -53, Count: 15, Result: 47
Begin: 47, Num: -79, Intermediate: -32, Count: 16, Result: 68
Begin: 68, Num: 55, Intermediate: 123, Count: 17, Result: 23
Begin: 23, Num: 85, Intermediate: 108, Count: 18, Result: 8
Begin: 8, Num: -8, Intermediate: 0, Count: 18, Result: 0
Begin: 0, Num: -9, Intermediate: -9, Count: 18, Result: 91
Begin: 91, Num: 95, Intermediate: 186, Count: 19, Result: 86
Begin: 86, Num: 14, Intermediate: 100, Count: 20, Result: 0
Begin: 0, Num: -41, Intermediate: -41, Count: 20, Result: 59
Begin: 59, Num: 41, Intermediate: 100, Count: 21, Result: 0
Begin: 0, Num: 62, Intermediate: 62, Count: 21, Result: 62
Begin: 62, Num: -37, Intermediate: 25, Count: 21, Result: 25
Begin: 25, Num: 15, Intermediate: 40, Count: 21, Result: 40
Begin: 40, Num: -17, Intermediate: 23, Count: 21, Result: 23
Begin: 23, Num: -60, Intermediate: -37, Count: 22, Result: 63
Begin: 63, Num: 77, Intermediate: 140, Count: 23, Result: 40
Begin: 40, Num: 60, Intermediate: 100, Count: 24, Result: 0
Begin: 0, Num: -36, Intermediate: -36, Count: 24, Result: 64
Begin: 64, Num: 36, Intermediate: 100, Count: 25, Result: 0
Begin: 0, Num: -32, Intermediate: -32, Count: 25, Result: 68
Begin: 68, Num: 32, Intermediate: 100, Count: 26, Result: 0
Begin: 0, Num: -45, Intermediate: -45, Count: 26, Result: 55
Begin: 55, Num: -55, Intermediate: 0, Count: 26, Result: 0
Begin: 0, Num: 23, Intermediate: 23, Count: 26, Result: 23
Begin: 23, Num: -62, Intermediate: -39, Count: 27, Result: 61
Begin: 61, Num: 39, Intermediate: 100, Count: 28, Result: 0
Begin: 0, Num: 64, Intermediate: 64, Count: 28, Result: 64
Begin: 64, Num: -57, Intermediate: 7, Count: 28, Result: 7
Begin: 7, Num: -7, Intermediate: 0, Count: 28, Result: 0
Begin: 0, Num: 60, Intermediate: 60, Count: 28, Result: 60
Begin: 60, Num: -89, Intermediate: -29, Count: 29, Result: 71
Begin: 71, Num: -70, Intermediate: 1, Count: 29, Result: 1
Begin: 1, Num: -89, Intermediate: -88, Count: 30, Result: 12
Begin: 12, Num: 72, Intermediate: 84, Count: 30, Result: 84
Begin: 84, Num: -84, Intermediate: 0, Count: 30, Result: 0
Begin: 0, Num: 48, Intermediate: 48, Count: 30, Result: 48
Begin: 48, Num: -866, Intermediate: -818, Count: 39, Result: 82
Begin: 82, Num: -15, Intermediate: 67, Count: 39, Result: 67
Begin: 67, Num: 877, Intermediate: 944, Count: 48, Result: 44
Begin: 44, Num: 56, Intermediate: 100, Count: 49, Result: 0
Begin: 0, Num: 94, Intermediate: 94, Count: 49, Result: 94
Begin: 94, Num: 40, Intermediate: 134, Count: 50, Result: 34
Begin: 34, Num: -23, Intermediate: 11, Count: 50, Result: 11
Begin: 11, Num: 54, Intermediate: 65, Count: 50, Result: 65
Begin: 65, Num: 35, Intermediate: 100, Count: 51, Result: 0
Begin: 0, Num: -321, Intermediate: -321, Count: 54, Result: 79
Begin: 79, Num: 21, Intermediate: 100, Count: 55, Result: 0
Begin: 0, Num: -32, Intermediate: -32, Count: 55, Result: 68
Begin: 68, Num: 872, Intermediate: 940, Count: 64, Result: 40
Begin: 40, Num: 56, Intermediate: 96, Count: 64, Result: 96
Begin: 96, Num: 50, Intermediate: 146, Count: 65, Result: 46
Begin: 46, Num: -340, Intermediate: -294, Count: 68, Result: 6
Begin: 6, Num: -6, Intermediate: 0, Count: 68, Result: 0
Begin: 0, Num: 44, Intermediate: 44, Count: 68, Result: 44
Begin: 44, Num: -44, Intermediate: 0, Count: 68, Result: 0
Begin: 0, Num: -67, Intermediate: -67, Count: 68, Result: 33
Begin: 33, Num: 94, Intermediate: 127, Count: 69, Result: 27
Begin: 27, Num: -95, Intermediate: -68, Count: 70, Result: 32
Begin: 32, Num: 68, Intermediate: 100, Count: 71, Result: 0
Begin: 0, Num: 32, Intermediate: 32, Count: 71, Result: 32
Begin: 32, Num: -32, Intermediate: 0, Count: 71, Result: 0
Begin: 0, Num: -57, Intermediate: -57, Count: 71, Result: 43
Begin: 43, Num: -99, Intermediate: -56, Count: 72, Result: 44
Begin: 44, Num: 7, Intermediate: 51, Count: 72, Result: 51
Begin: 51, Num: -589, Intermediate: -538, Count: 78, Result: 62
Begin: 62, Num: 81, Intermediate: 143, Count: 79, Result: 43
Begin: 43, Num: 957, Intermediate: 1000, Count: 89, Result: 0
Begin: 0, Num: 67, Intermediate: 67, Count: 89, Result: 67
Begin: 67, Num: 31, Intermediate: 98, Count: 89, Result: 98
Begin: 98, Num: 683, Intermediate: 781, Count: 96, Result: 81
Begin: 81, Num: 19, Intermediate: 100, Count: 97, Result: 0
Begin: 0, Num: 12, Intermediate: 12, Count: 97, Result: 12
Begin: 12, Num: -14, Intermediate: -2, Count: 98, Result: 98
Begin: 98, Num: 2, Intermediate: 100, Count: 99, Result: 0
Begin: 0, Num: -80, Intermediate: -80, Count: 99, Result: 20
Begin: 20, Num: 502, Intermediate: 522, Count: 104, Result: 22
Begin: 22, Num: -88, Intermediate: -66, Count: 105, Result: 34
Begin: 34, Num: 15, Intermediate: 49, Count: 105, Result: 49
Begin: 49, Num: -10, Intermediate: 39, Count: 105, Result: 39
Begin: 39, Num: -739, Intermediate: -700, Count: 113, Result: 0
Begin: 0, Num: -4, Intermediate: -4, Count: 113, Result: 96
Begin: 96, Num: -66, Intermediate: 30, Count: 113, Result: 30
Begin: 30, Num: -24, Intermediate: 6, Count: 113, Result: 6
